worker_id,time_expiration_nearest,access_counter,token_input,user_agent_source,ip_address,time_expiration,generated,ip_source,try_current,paid,batch_name,token_output,unit_id,time_completion,in_progress,user_agent,time_arrival,task_name,folder,time_expired,status_code,platform,try_left,source_acl,source_data,source_log,source_path,try_last,task_id,tries_amount,questionnaire_amount,questionnaire_amount_start,questionnaire_amount_end,documents_amount,dimensions_amount,time_arrival_parsed,time_completion_parsed,time_removal
A348JKD82WQ6Z,"Wed, 11 Jan 2023 20:06:08 GMT",1,pYOKrSLtSy,cf,2a02:26f7:bcd0:4000:4722:716a:bc8d:94f7,"Wed, 11 Jan 2023 20:15:46 GMT",False,cf,1,True,statement_truthfulness,DxfXiWXqMy,unit_9,"Tue, 10 Jan 2023 14:39:41 GMT",False,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","Tue, 10 Jan 2023 14:15:46 GMT",secondo_progetto_social_computing,secondo_progetto_social_computing/statement_truthfulness/Data/A348JKD82WQ6Z/,False,200,mturk,3,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_ACL,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_Data,,result/secondo_progetto_social_computing/Data/A348JKD82WQ6Z.json,1.0,secondo_progetto_social_computing,3.0,0.0,0.0,0.0,3.0,3.0,2023-01-10 14:15:46 00:00,2023-01-10 14:39:41 00:00,
A3OAQZM6Q3YJQ1,"Wed, 11 Jan 2023 20:48:07 GMT",2,iNCbUjYYgC,cf,195.181.176.6,"Thu, 12 Jan 2023 12:56:44 GMT",False,cf,1,True,statement_truthfulness,NAmfQOhMlz,unit_5,,True,"Mozilla/5.0 (Linux; Android 13) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36","Wed, 11 Jan 2023 06:56:45 GMT",secondo_progetto_social_computing,secondo_progetto_social_computing/statement_truthfulness/Data/A3OAQZM6Q3YJQ1/,False,202,mturk,3,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_ACL,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_Data,,result/secondo_progetto_social_computing/Data/A3OAQZM6Q3YJQ1.json,1.0,secondo_progetto_social_computing,3.0,0.0,0.0,0.0,3.0,3.0,2023-01-11 06:56:45 00:00,,
A1TEEFJDPVEK0L,"Wed, 11 Jan 2023 19:55:03 GMT",1,fPtmtAnTvk,cf,158.110.231.185,"Wed, 11 Jan 2023 20:03:34 GMT",False,cf,1,True,statement_truthfulness,KZowyiwifv,unit_4,"Tue, 10 Jan 2023 14:12:31 GMT",False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","Tue, 10 Jan 2023 14:03:34 GMT",secondo_progetto_social_computing,secondo_progetto_social_computing/statement_truthfulness/Data/A1TEEFJDPVEK0L/,False,200,mturk,3,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_ACL,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_Data,,result/secondo_progetto_social_computing/Data/A1TEEFJDPVEK0L.json,1.0,secondo_progetto_social_computing,3.0,0.0,0.0,0.0,3.0,3.0,2023-01-10 14:03:34 00:00,2023-01-10 14:12:31 00:00,
A3T2NTPGB3KNDS,"Wed, 11 Jan 2023 02:26:13 GMT",1,fQqiFfshMP,cf,151.38.201.110,"Wed, 11 Jan 2023 17:29:25 GMT",False,cf,1,False,statement_truthfulness,hJSViztNpw,unit_3,,True,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 Edg/108.0.1462.76","Tue, 10 Jan 2023 11:29:25 GMT",secondo_progetto_social_computing,secondo_progetto_social_computing/statement_truthfulness/Data/A3T2NTPGB3KNDS/,False,202,mturk,3,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_ACL,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_Data,,result/secondo_progetto_social_computing/Data/A3T2NTPGB3KNDS.json,1.0,secondo_progetto_social_computing,3.0,0.0,0.0,0.0,3.0,3.0,2023-01-10 11:29:25 00:00,,
AYKZJHEV29ZHL,"Wed, 11 Jan 2023 20:03:34 GMT",1,DkQTVcxXGS,cf,158.110.228.138,"Wed, 11 Jan 2023 20:05:01 GMT",False,cf,1,True,statement_truthfulness,DnoeOavRNF,unit_6,"Tue, 10 Jan 2023 14:14:17 GMT",False,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:108.0) Gecko/20100101 Firefox/108.0,"Tue, 10 Jan 2023 14:05:01 GMT",secondo_progetto_social_computing,secondo_progetto_social_computing/statement_truthfulness/Data/AYKZJHEV29ZHL/,False,200,mturk,3,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_ACL,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_Data,,result/secondo_progetto_social_computing/Data/AYKZJHEV29ZHL.json,1.0,secondo_progetto_social_computing,3.0,0.0,0.0,0.0,3.0,3.0,2023-01-10 14:05:01 00:00,2023-01-10 14:14:17 00:00,
A1DBDW931EESQL,"Mon, 09 Jan 2023 19:04:37 GMT",1,svUeVGdChF,cf,2606:54c0:3900:58::20d:6e,"Tue, 10 Jan 2023 23:29:54 GMT",False,cf,1,False,statement_truthfulness,IxRQCGDNGW,unit_1,,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Mon, 09 Jan 2023 17:29:54 GMT",secondo_progetto_social_computing,secondo_progetto_social_computing/statement_truthfulness/Data/A1DBDW931EESQL/,True,202,mturk,3,,,,,,,,,,,,,,,"Wed, 11 Jan 2023 06:56:45 GMT"
A2Q51AC4E6I5ZB,"Wed, 11 Jan 2023 20:05:09 GMT",1,QhmRiLftqw,cf,158.110.233.104,"Wed, 11 Jan 2023 20:06:08 GMT",False,cf,1,True,statement_truthfulness,zTCMdYHylP,unit_8,"Tue, 10 Jan 2023 14:12:56 GMT",False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","Tue, 10 Jan 2023 14:06:08 GMT",secondo_progetto_social_computing,secondo_progetto_social_computing/statement_truthfulness/Data/A2Q51AC4E6I5ZB/,False,200,mturk,3,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_ACL,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_Data,,result/secondo_progetto_social_computing/Data/A2Q51AC4E6I5ZB.json,1.0,secondo_progetto_social_computing,3.0,0.0,0.0,0.0,3.0,3.0,2023-01-10 14:06:08 00:00,2023-01-10 14:12:56 00:00,
AKPNPLA397KJR,"Tue, 10 Jan 2023 23:29:54 GMT",1,crNtPwEDOQ,cf,2606:54c0:3960:68::72:11e,"Wed, 11 Jan 2023 02:26:13 GMT",False,cf,1,False,statement_truthfulness,fIBapFvMgI,unit_2,,True,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6,2 Safari/605.1.15","Mon, 09 Jan 2023 20:26:13 GMT",secondo_progetto_social_computing,secondo_progetto_social_computing/statement_truthfulness/Data/AKPNPLA397KJR/,False,202,mturk,3,,,,,,,,,,,,,,,
A3W16X5D0VGU0E,"Wed, 11 Jan 2023 20:48:07 GMT",1,iNCbUjYYgC,cf,5.11.114.42,"Fri, 13 Jan 2023 02:07:37 GMT",False,cf,1,True,statement_truthfulness,NAmfQOhMlz,unit_5,"Wed, 11 Jan 2023 20:17:09 GMT",False,"Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-M315F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/19.0 Chrome/102.0.5005.125 Mobile Safari/537.36","Wed, 11 Jan 2023 20:07:37 GMT",secondo_progetto_social_computing,secondo_progetto_social_computing/statement_truthfulness/Data/A3W16X5D0VGU0E/,False,201,mturk,3,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_ACL,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_Data,,result/secondo_progetto_social_computing/Data/A3W16X5D0VGU0E.json,1.0,secondo_progetto_social_computing,3.0,0.0,0.0,0.0,3.0,3.0,2023-01-11 20:07:37 00:00,2023-01-11 20:17:09 00:00,
A2Z4OTGC834F3Y,"Wed, 11 Jan 2023 18:23:00 GMT",1,fPtmtAnTvk,cf,62.19.218.48,"Wed, 11 Jan 2023 18:34:15 GMT",False,cf,1,True,statement_truthfulness,KZowyiwifv,unit_4,"Tue, 10 Jan 2023 12:40:56 GMT",False,"Mozilla/5.0 (Linux; Android 13; SM-A528B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36 (Ecosia android@101.0.4951.41)","Tue, 10 Jan 2023 12:34:15 GMT",secondo_progetto_social_computing,secondo_progetto_social_computing/statement_truthfulness/Data/A2Z4OTGC834F3Y/,False,200,mturk,3,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_ACL,Crowd_Frame-secondo_progetto_social_computing_statement_truthfulness_Data,,result/secondo_progetto_social_computing/Data/A2Z4OTGC834F3Y.json,1.0,secondo_progetto_social_computing,3.0,0.0,0.0,0.0,3.0,3.0,2023-01-10 12:34:15 00:00,2023-01-10 12:40:56 00:00,
